Netblock,Description,Num IPs
111.65.255.0/24,FPT ONLINE JSC,256
180.148.128.0/24,FPT ONLINE JSC,256
180.148.129.0/24,FPT ONLINE JSC,256
180.148.130.0/24,FPT ONLINE JSC,256
180.148.131.0/24,FPT ONLINE JSC,256
180.148.132.0/24,FPT ONLINE JSC,256
180.148.133.0/24,FPT ONLINE JSC,256
180.148.134.0/24,FPT ONLINE JSC,256
180.148.135.0/24,FPT ONLINE JSC,256
180.148.136.0/24,FPT ONLINE JSC,256
180.148.137.0/24,FPT ONLINE JSC,256
180.148.138.0/24,FPT ONLINE JSC,256
180.148.139.0/24,FPT ONLINE JSC,256
180.148.140.0/24,FPT ONLINE JSC,256
180.148.141.0/24,FPT ONLINE JSC,256
180.148.142.0/24,FPT ONLINE JSC,256
180.148.143.0/24,FPT ONLINE JSC,256
101.99.3.0/24,CMC Telecom Infrastructure Company,256
103.152.164.0/23,"HUNG CUONG DIGITAL TECHNOLOGY CO.,LTD",512
103.21.148.0/22,CMC Telecom Infrastructure Company,1024
103.21.148.0/24,CMC Telecom Infrastructure Company,256
103.21.149.0/24,CMC Telecom Infrastructure Company,256
103.21.150.0/24,CMC Telecom Infrastructure Company,256
103.21.151.0/24,CMC Telecom Infrastructure Company,256
103.252.0.0/22,North Brand - CMC Telecom,1024
103.252.0.0/24,North Brand - CMC Telecom,256
103.63.108.0/24,Hai Phong Brand - CMC Telecommunication Infrastructure Corporation,256
103.63.109.0/24,Hai Phong Brand - CMC Telecommunication Infrastructure Corporation,256
115.146.120.0/24,CMC Telecom Infrastructure Company,256
115.146.121.0/24,CMC Telecom Infrastructure Company,256
115.146.122.0/24,CMC Telecom Infrastructure Company,256
115.146.123.0/24,CMC Telecom Infrastructure Company,256
115.146.124.0/23,CMC Telecom Infrastructure Company,512
115.146.124.0/24,CMC Telecom Infrastructure Company,256
115.146.125.0/24,CMC Telecom Infrastructure Company,256
115.146.126.0/23,CMC Telecom Infrastructure Company,512
115.146.126.0/24,CMC Telecom Infrastructure Company,256
115.146.127.0/24,CMC Telecom Infrastructure Company,256
124.158.0.0/24,CMC Telecom Infrastructure Company,256
124.158.1.0/24,CMC Telecom Infrastructure Company,256
124.158.2.0/24,CMC Telecom Infrastructure Company,256
124.158.3.0/24,CMC Telecom Infrastructure Company,256
124.158.4.0/24,CMC Telecom Infrastructure Company,256
124.158.5.0/24,CMC Telecom Infrastructure Company,256
124.158.6.0/24,CMC Telecom Infrastructure Company,256
124.158.7.0/24,CMC Telecom Infrastructure Company,256
183.91.14.0/24,CMC Telecom Infrastructure Company,256
45.122.253.0/24,Hai Phong Brand - CMC Telecommunication Infrastructure Corporation,256
103.19.164.0/22,Mobifone Global JSC,1024
103.19.164.0/24,Mobifone Global JSC,256
103.19.165.0/24,Mobifone Global JSC,256
103.19.166.0/24,Mobifone Global JSC,256
103.19.167.0/24,Mobifone Global JSC,256
103.237.64.0/24,Vietnam Telecom and Technology Solution Joint Stock Company,256
103.37.28.0/22,"Tien Phong Co., LTD",1024
103.37.28.0/24,"Tien Phong Co., LTD",256
103.37.29.0/24,"Tien Phong Co., LTD",256
103.37.30.0/24,"Tien Phong Co., LTD",256
103.37.31.0/24,"Tien Phong Co., LTD",256
103.37.32.0/22,"ADC Software., JSC",1024
103.37.32.0/24,"ADC Software., JSC",256
103.37.33.0/24,"ADC Software., JSC",256
103.37.34.0/24,"ADC Software., JSC",256
103.37.35.0/24,"ADC Software., JSC",256
103.38.136.0/22,ICT Service Engineering Joint Stock Company,1024
103.38.136.0/24,ICT Service Engineering Joint Stock Company,256
103.38.137.0/24,ICT Service Engineering Joint Stock Company,256
103.38.138.0/24,ICT Service Engineering Joint Stock Company,256
103.38.139.0/24,ICT Service Engineering Joint Stock Company,256
111.91.232.0/24,Mobifone Global JSC,256
111.91.233.0/24,Mobifone Global JSC,256
111.91.235.0/24,Mobifone Global JSC,256
45.125.200.0/22,"VTTC Co., LTD",1024
45.125.200.0/24,"VTTC Co., LTD",256
45.125.201.0/24,"VTTC Co., LTD",256
45.125.202.0/24,"VTTC Co., LTD",256
45.125.203.0/24,"VTTC Co., LTD",256
45.125.204.0/24,Vietnam Telecom and Technology Solution Joint Stock Company,256
45.125.205.0/24,Vietnam Telecom and Technology Solution Joint Stock Company,256
45.125.206.0/24,Vietnam Telecom and Technology Solution Joint Stock Company,256
45.125.207.0/24,Vietnam Telecom and Technology Solution Joint Stock Company,256
45.125.208.0/22,Mobifone Global JSC,1024
45.125.208.0/24,Mobifone Global JSC,256
